artist,artist_summary,wiki_link,image_url,period,years,movement,country
Francisco Goya,"Spanish romantic painter and printmaker. Regarded as one of the most important Spanish artists of the late 18th and early 19th centuries.",https://en.wikipedia.org/wiki/Francisco_Goya,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg/220px-Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,Romanticism,1746-1828,Romanticism,Spain
El Greco,"Greek painter, sculptor and architect of the Spanish Renaissance. Known for his dramatically elongated figures and bold use of color.",https://en.wikipedia.org/wiki/El_Greco,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg/220px-El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg,Mannerism,1541-1614,Mannerism,Spain/Greece
Jean-Auguste-Dominique Ingres,"French Neoclassical painter. Known for his precise draftsmanship and his portraits and historical paintings.",https://en.wikipedia.org/wiki/Jean-Auguste-Dominique_Ingres,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ingres%2C_Self-portrait.jpg/220px-Ingres%2C_Self-portrait.jpg,Neoclassicism,1780-1867,Neoclassicism,France
Eugène Delacroix,"French Romantic artist regarded as the leader of the French Romantic school. Known for his expressive brushstrokes and use of color.",https://en.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/F%C3%A9lix_Nadar_1820-1910_portraits_Eug%C3%A8ne_Delacroix_%28restoration%29.jpg/220px-F%C3%A9lix_Nadar_1820-1910_portraits_Eug%C3%A8ne_Delacroix_%28restoration%29.jpg,Romanticism,1798-1863,Romanticism,France
Édouard Manet,"French modernist painter. One of the first 19th-century artists to paint modern life, and a pivotal figure in the transition from Realism to Impressionism.",https://en.wikipedia.org/wiki/%C3%89douard_Manet,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/%C3%89douard_Manet_-_Portrait_of_%C3%89douard_Manet_by_Nadar%2C_c1865.jpg/220px-%C3%89douard_Manet_-_Portrait_of_%C3%89douard_Manet_by_Nadar%2C_c1865.jpg,Impressionism,1832-1883,Impressionism,France
Claude Monet,"French painter and founder of French Impressionist painting. Known for his landscape paintings and his series of Water Lilies.",https://en.wikipedia.org/wiki/Claude_Monet,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Claude_Monet_1899_Nadar_crop.jpg/220px-Claude_Monet_1899_Nadar_crop.jpg,Impressionism,1840-1926,Impressionism,France
Pierre-Auguste Renoir,"French artist who was a leading painter in the development of the Impressionist style. Known for his vibrant light and saturated color.",https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Pierre-Auguste_Renoir%2C_uncropped_image.jpg/220px-Pierre-Auguste_Renoir%2C_uncropped_image.jpg,Impressionism,1841-1919,Impressionism,France
Vincent van Gogh,"Dutch Post-Impressionist painter. Among the most famous and influential figures in Western art history. Known for his bold colors and emotional honesty.",https://en.wikipedia.org/wiki/Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/220px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Post-Impressionism,1853-1890,Post-Impressionism,Netherlands
Paul Cézanne,"French Post-Impressionist painter whose work laid the foundations of the transition from 19th-century Impressionism to 20th-century Cubism.",https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Paul_Cezanne_1861.jpg/220px-Paul_Cezanne_1861.jpg,Post-Impressionism,1839-1906,Post-Impressionism,France
Henri Matisse,"French visual artist, known for both his use of color and his fluid and original draughtsmanship. Leader of the Fauvist movement.",https://en.wikipedia.org/wiki/Henri_Matisse,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Portrait_of_Henri_Matisse_1933_May_20.jpg/220px-Portrait_of_Henri_Matisse_1933_May_20.jpg,Modern Art,1869-1954,Fauvism,France
Pablo Picasso,"Spanish painter, sculptor, printmaker, ceramicist and theatre designer. Co-founder of Cubism and one of the most influential artists of the 20th century.",https://en.wikipedia.org/wiki/Pablo_Picasso,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Pablo_picasso_1.jpg/220px-Pablo_picasso_1.jpg,Modern Art,1881-1973,Cubism,Spain
Wassily Kandinsky,"Russian painter and art theorist. Credited with painting one of the first recognized purely abstract works. Pioneer of abstract art.",https://en.wikipedia.org/wiki/Wassily_Kandinsky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Vassily_Kandinsky%2C_1913_-_Photographie_de_Gabriele_M%C3%BCnter.jpg/220px-Vassily_Kandinsky%2C_1913_-_Photographie_de_Gabriele_M%C3%BCnter.jpg,Modern Art,1866-1944,Abstract Art,Russia
Edgar Degas,"French Impressionist artist famous for his pastel drawings and oil paintings. Known for his depictions of dancers, horse races, and bathers.",https://en.wikipedia.org/wiki/Edgar_Degas,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Edgar_Degas_self_portrait_photograph.jpg/220px-Edgar_Degas_self_portrait_photograph.jpg,Impressionism,1834-1917,Impressionism,France
Georges Seurat,"French post-Impressionist artist. Devised the painting techniques known as chromoluminarism and pointillism. Known for A Sunday Afternoon on the Island of La Grande Jatte.",https://en.wikipedia.org/wiki/Georges_Seurat,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Georges_Seurat_031.jpg/220px-Georges_Seurat_031.jpg,Post-Impressionism,1859-1891,Neo-Impressionism,France
Marc Chagall,"Russian-French artist. Associated with several major artistic styles and created works in a wide range of artistic formats. Known for his dreamlike imagery.",https://en.wikipedia.org/wiki/Marc_Chagall,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Marc_Chagall_1941.jpg/220px-Marc_Chagall_1941.jpg,Modern Art,1887-1985,Surrealism,Russia/France
